编号,汉字,拼音,声母,韵母,笔画,部首,多音字,姓氏,含义
91,不,bù / fǒu,b,u,4,一,是,否,"(象形。甲骨文字形,上面象花蒂的子房,下面象花蕊下垂形。①本义:萼足。《诗·小雅·常棣》:“常棣之花,鄂不韡(wěi)。”郑笺:“承华者曰鄂。”②副词。不。《荀子》:“锲而不舍,金石可镂。”)；用在动词、形容词或个别副词前,表示否定；表示事理上或情理上不需要；古疑问词；用来调整音节；大；注意:“不”字在第四声(去声)字前念第二声(阳平),如“不必”(bú bì);“不是”(bú shì)。本词典为方便起见,条目中的“不”字,都注第四声"
92,犬,quǎn,q,uan,4,犬,否,否,"(象形。“犬”是汉字部首之一。本义:狗)；同本义。古时特指大狗,后来犬、狗通名；称自己的儿子(谦称)"
93,太,tài,t,ai,4,大,否,是,"(指事。古作“大”,后语音分化,在“大”字下添加符号,成指事字。本义:过于)；极大。古作“大”,也作“泰”。凡言大而以为形容未尽,则作太；身分最高或辈数更高的；大的,广大的；古代记数有所超过称“太”；安宁的,秩序正常的。也作“泰”；亨通;顺利；泰阶,星名,即三台。又比喻三公；过于;过分；又"
94,区,qū / ōu,q,u,4,匚,是,否,一种中国古代容器。又用为容量单位；姓氏
95,历,lì,l,i,4,厂,否,否,"(形声。从謪,厤(lì)声。从“止”,表示与脚、行走有关。本义:经过)；同本义；行;游历；超越;超过；担任;先后担任各种官职；发出;流露；审视;察看;推算；尽;遍；逐一;逐个地；又历历可听;历历在目；分明,清晰；稀疏；历法,历术；历书,按当年的日、周和月顺序载有天文学等资料的出版物；次第,依次而定；所有以前的、先前的；釜鬲"
96,歹,dǎi,d,ai,4,歹,否,否,"(象形。本作“歺”,音è。甲骨文字形,象有裂缝的残骨。隶变作“歹”。“歹”是汉字部首之一,从“歹”的字多与死、坏或不吉祥等义有关。①(è)本义:残骨。《说文》:“ 列骨之残也。” ②坏)；坏。与“好”相对；又指不健康的；奸细,有异心的人"
97,友,yǒu,y,ou,4,又,否,否,"(会意。甲骨文字形,象顺着一个方向的两只手,表示以手相助。本义:朋友)；同本义；职官名。王官之近臣；互相合作；结交,与…为友；给予帮助或支持"
98,尤,yóu,y,ou,4,尢,否,是,"(形声,小篆字形,从乙,又声。乙象植物屈曲生长的样子,受到阻碍,则显示出它的优异。本义:最优异)；同本义；惊异；责备;怪罪；过失,罪过；尤其,更加；姓"
99,匹,pǐ,p,i,4,匚,否,否,"(会意。据金文,象以山崖的凹凸不平来比喻布的摺皱。本义:中国古代计算布帛的单位,四丈为匹)；量词。用于纺织品或缧马等；志同道合的人;伴侣;配偶；同类;友辈；匹敌,对手；二人；比喻；匹敌;比得上,相当"
100,车,chē / jū,ch,e,4,车,是,是,"(象形。甲骨文有多种写法。象车形。本义:车子,陆地上有轮子的运输工具)；同本义；特指战车,兵车；乘车；姓"
101,巨,jù,j,u,4,工,否,否,"(象形。金文字形,是“矩”的本字,象人持矩形。本义:画直角方形用的工具)；同本义；距离；大;很大；岂,难道；最；姓"
102,牙,yá,y,a,4,牙,否,否,"(象形。金文字形,象上下牙齿交错形。“牙”是汉字的一个部首。本义:槽牙)；大牙,臼齿。古时,当唇者称齿,在辅车之后者称牙；形状像齿的东西；特指象牙；萌芽；孩童；姓"
103,屯,tún / zhūn,t,un,4,屮,是,否,"(会意。从屮贯一。屮(chè),草。一,土地。象草木初生的艰难。①(zhūn)本义:艰难。②引申义:聚集)；聚集；戍守,驻扎；积聚。聚集储存起来；兵营；小山；河港靠船之处；,由十八个月、每月二十天构成的三百六十天的周期,并且用作再加五天的三百六十五天的马雅历长年的基础"
104,戈,ɡē,,ɡe,4,戈,否,是,"(象形。甲骨文字形,象一种长柄兵器形。本义:一种兵器)；中国古代的主要兵器；泛指兵器；战争;战乱"
105,比,bǐ,b,i,4,比,否,否,"(会意。从二匕,匕亦声。甲骨文字形,象两人步调一致,比肩而行。它与“从”字同形,只是方向相反。《说文》:“二人为从,反从为比。”本义:并列;并排)；同本义；连接,接近；比较;考校,核对；及,等到；勾结;偏爱；等同；具备；官府限期办好公事；接近;亲近；密(与“稀”、“疏”相对)；和谐；皆,都,同等地；连续,频频；近来；比起；为;替；及,等到；姓"
106,互,hù,h,u,4,二,否,否,(象形。是一种绞绳用的工具。本义:绞绳用的工具)；同本义；差错；古代挂肉的木架；交替;相互；交接
107,切,qiē / qiè,q,ie,4,刀,是,否,"台阶；(形声。从刀,七声。本义:用刀把物品分成若干部分)"
108,瓦,wǎ / wà,w,a,4,瓦,是,否,"(象形。象屋瓦俯仰相承的样子。“瓦”是汉字的一个部首。本义:已烧土器的总称)；同本义；屋瓦；功率单位,瓦特的简称；盾脊,盾背拱起如覆瓦的部分；宋、元时都市中的游乐、贸易场所。也称“瓦子”、“瓦舍”、“瓦肆”或“瓦市”；古八音中“土”的别称；地名 。春秋时卫地,在今河南省滑县南；姓"
109,止,zhǐ,zh,i,4,止,否,否,"(“趾”的本字。象形。甲骨文字形。上象脚趾头,下象脚面和脚掌。本义:脚) 同本义；停住,中断进程；又；阻止,不让进行；又；居住；停留,逗留；仅;只；又；又；在句末可表肯定陈述语气,相当于“呢”"
110,少,shǎo / shào,sh,ao,4,小,是,否,"(会意。小篆从小,丿(piě)声。本义:不多)；同本义；薄弱；短缺,距原来的要求还差；使少,减少;削弱；轻视,看不起；稍稍,稍微；又；一会儿"
111,曰,yuē,y,ue,4,曰,否,否,"(指事。甲骨文字形,下象口形,加上的短横表示声气。本义:说,说道)；同本义；叫做；句首、句中助词,无实义"
112,日,rì,r,i,4,日,否,否,"(象形。甲骨文和小篆字形。象太阳形。轮廓象太阳的圆形,一横或一点表示太阳的光。本义:太阳)；同本义；白天,白昼；时节;为特殊目的而定的日子；一昼夜；时间,光阴；每日,每天；他日,改天；往日,从前"
113,中,zhōng / zhòng,zh,ong,4,丨,是,否,"(指事。甲骨文字形,中象旗杆,上下有旌旗和飘带,旗杆正中竖立。本义:中心;当中,指一定范围内部适中的位置)；同本义；又；内,里面。与“外”相对；半;中途;半中腰；方位名。泛指一个地区内或一个时期内,中间;居中；指宫禁之内。亦借指朝廷；内心；内脏；中介人；中等；容易；合适,适当；不偏不倚,正；忠诚；姓"
114,贝,bèi,b,ei,4,贝,否,是,"(象形。甲骨文和金文字形,象海贝形。汉字部首之一。古时以贝壳为货币,又用作装饰,故从“贝”的字多与钱财宝物、装饰品或贸易商品有关。本义:海贝)；牡蛎、蛤或其它软体动物中腹足类和瓣鳃类的统称。体软无节,外束膜一层曰外套膜,能分泌液质,结构成壳,名为介；贝壳；古代货币；贝尔的简称；姓"
115,冈,ɡānɡ,,ɡanɡ,4,冂,否,否,"(形声。从山,网声。本义:山脊,山岭) 同本义"
116,内,nèi / nà,n,ei,4,冂,是,否,"(会意。甲骨文字形,从冂入。冂(jiōng)表示蒙盖,入表示进入之物,合而表示事物被蒙盖在里面。本义:入,自外面进入里面)；同本义；交入;接纳"
117,水,shuǐ,sh,ui,4,水,否,是,"(象形。甲骨文字形。中间像水脉,两旁似流水。“水”是汉字的一个部首。从水的字,或表示江河或水利名称,或表示水的流动,或水的性质状态。本义:以雨的形式从云端降下的液体,无色无味且透明,形成河流、湖泊和海洋,分子式为 H2O,是一切生物体的主要成分)；同本义；特指河流；泛指一切水域；大水;水灾；五行之一；额外收入或附加费用。又“发水”就是“发财”；指水军；水族 。中国少数民族之一,居住在贵州省；泅水,游泳；用水测平；姓"
118,见,jiàn / xiàn,j,ian,4,见,是,否,"(会意。甲骨文字形,上面是“目”,下面是“人”。在人的头上加只眼睛,就是为了突出眼睛的作用。本义:看见,看到)；同本义；进见;会见；遇到;碰见；听到；观察;知道;了解；看法,见解；表示被动,相当于“被”；用在动词前面表示对我怎么样"
119,午,wǔ,w,u,4,十,否,否,"(象形。本义:御马索)；同本义；地支的第七位；与天干相配,用以纪年；用以纪月。即农历五月；用以纪日；用以纪时,即十一时至十三时;正午,白天十二时；纵横相交；违反；抵触,相遇"
120,牛,niú,n,iu,4,牛,否,是,"(象形。甲骨文字形作“牜”。中间一竖表示牛面,上面两竖加弯表牛角,下面两小撇表示牛耳)；牛属或近缘属的成员。哺乳动物,体型粗壮,角中空,由头骨向两侧呈大弧度伸出。力大,能耕田、拉车。中国产的以黄牛、水牛为主；星名。牛宿的省称；比喻性格执拗或倔犟 。如:牛心左性(头脑顽固,性情偏执);牛劲。也喻其温顺、迟钝、笨拙、力气大。如:笨牛;大牛；姓"
121,手,shǒu,sh,ou,4,手,否,否,"(象形。小篆字形,象伸出五指形。本义:人体上肢的总称,一般指腕以下的部分)；同本义；专司某事或擅长某种技艺的人；笔迹；手艺;本领；亲自,亲手；拿着,执持；用手击杀；取"
122,气,qì,q,i,4,气,否,否,"(象形。甲骨文、小篆字形。象云气蒸腾上升的样子。“气”是汉字部首之一。本义:云气)；同本义；气体的通称 。既没有独立的形态又没有固定的体积而趋向无限膨胀的流体。如:气蚀。又指天然气。如:气田；空气；气象；气味；呼吸;气息；景象;气氛；指人的元气；指精神状态,情绪；气焰;权势；中医学术语。指脉气和营卫；用具,工具；向人求讨"
123,毛,máo,m,ao,4,毛,否,是,"(象形。金文字形。“毛”是汉字的一个部首,从“毛”的字多与皮毛有关。本义:眉毛、头发、兽毛)；同本义；鸟的羽毛；草木;五谷；小,微不足道。多用于贬义；发慌；姓"
124,壬,rén,r,en,4,士,否,否,"(象形兼指事。像一个人挑担子。本义:挑担) 同本义；天干的第九位,用以纪旬；巧辩。假借为“佞”；盛大;庄严"
125,升,shēnɡ,sh,enɡ,4,十,否,否,"(象形。本义:容器名。一斗的十分之一)；容量单位；量酒的单位；量器；古代布八十缕为升；上升,升起；登,上；提升；谷物登场,成熟；进奉,进献；古州名  故治在今南京市；姓(如宋有昇元中)；姓"
126,夭,yāo,y,ao,4,大,否,否,刚出生的兽或禽；初生的草木
127,长,chánɡ,ch,anɡ,4,长,否,是,"(象形。甲骨文字形,象人披长发之形,以具体表抽象,表示长短的“长”。本义:两点距离大)；同本义。与“短”相对；时间久；遥远；高;高大；长度；长处；长久;永远；长长地；经常；直直地；顺利迅速地；姓"
128,仁,rén,r,en,4,亻,否,否,"(会意。从人,从二。右边的二是重文。本义:博爱,人与人相互亲爱)；中国古代一种含义极广的道德观念。其核心指人与人相互亲爱。孔子以之作为最高的道德标准；有德者之称；旧指有仁德的人；指事物中有恩于万物生育者,古代常与五行等相配；完美的道德；仁政；恩惠；同情, 怜悯；人；古县名；水名；等于8尺(一说7尺,也有说5.6尺或4尺的)的中国古代长度单位；温润；亲爱；同情;怜悯；思念；姓"
129,什,shí / shén,sh,i,4,亻,是,否,"代词，表示疑问；代词，指不确定的事物；虚指,表示不肯定的事物；表示否定；表示惊讶或激动；一切事物；用在‘也’前,表示所说的范围之内无例外；用在‘都’前,表示所说的范围之内无例外"
130,片,piàn / piān,p,ian,4,片,是,否,"(指事。甲骨文字形,象劈开的木片。本义:劈开树木之类)；同本义；扁而薄的东西；半;整体中的一小部分或较大地区内划出来的较小地区；雪花；词的分段称分片,上段叫“上片”,下段叫“下片”。下一段的开头叫“过片”；微小;微少；形容薄而成片的东西；延伸的平面或广阔区域(如陆地或水域)"
131,仆,pū / pú,p,u,4,亻,是,否,向前跌倒；下坠;倾倒
132,化,huà / huā,h,ua,4,亻,是,否,"(古字为“匕”。会意。甲骨文,从二人,象二人相倒背之形,一正一反,以示变化。本义:变化,改变)；同本义；教化；感化;转变人心；募化；消化;领会,融会贯通；死；消除,去掉；习俗,风气；造化。自然的功能"
133,仇,chóu / qiú,ch,ou,4,亻,是,是,"(形声。从人,九声。(qiú)本义:匹偶,同伴)；怨恨；仇恨；仇人;仇敌；报复"
134,币,bì,b,i,4,巾,否,否,"(形声。从巾,敝声。从巾表示与布帛有关。本义:古人用作礼物的丝织品)；同本义；泛指车马皮帛玉器等礼物；泛指财物；货币,钱；破旧;弃;败坏"
135,仍,rénɡ,r,enɡ,4,亻,否,否,"(形声。从人,乃声。本义:因袭,依旧)；同本义；接续;连续；牵引；仍旧,还是；一再;频繁；于是;乃"
136,仅,jǐn / jìn,j,in,4,亻,是,否,"(形声。从人,堇(qín)声。本义:仅能,只能) 同本义"
